IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8
-22.44337052,-12.86474748,30.2557951,30.0237078,-12.18187212,217.9351357,184.7521172,2170.069234
16.23422372,-2.639846775,24.78687622,22.00677473,-11.00296548,219.4282783,185.2522431,2169.454416
19.86516821,9.230240084,21.36632375,13.88566826,-9.814865931,220.8794714,185.7560142,2168.84498
-16.89028174,6.441390266,20.92476376,5.793566068,-8.615528766,222.2866579,186.2634952,2168.240937
4.114565502,-5.594367513,20.74723445,-2.136354163,-7.402909269,223.6477804,186.7747509,2167.6423
13.19237854,-9.139778777,16.3405713,-9.770914761,-6.174962729,224.9607815,187.2898461,2167.049079
-14.28377892,3.092776858,5.543848758,-16.97693805,-4.929644433,226.2236039,187.8088455,2166.461286
1.435795802,11.02000168,-11.37257957,-23.62124635,-3.664909668,227.4341905,188.3318139,2165.878934
20.71631068,7.75431501,-32.12958244,-29.57066199,-2.378713723,228.5904837,188.8588161,2165.302033
-15.74709591,-5.414014559,-51.98880827,-34.69200729,-1.069011885,229.6904264,189.3899168,2164.730595
-24.4781761,-12.97215972,-65.66357366,-38.85210457,0.266240559,230.7319611,189.9251809,2164.164631
-18.75406804,-2.536066481,-69.30403593,-41.91777617,1.62908832,231.7130307,190.464673,2163.604155
20.32862596,11.35614607,-64.76758212,-43.79658363,3.022182352,232.6315778,191.008458,2163.049176
15.5078988,12.07660431,-55.18790799,-44.55904545,4.45059857,233.485545,191.5566006,2162.499706
-12.37095822,1.167320495,-43.59176056,-44.31547706,5.919076817,234.272875,192.1091656,2161.955758
10.18600207,-10.99061203,-32.73862386,-43.17158934,7.427752417,234.9915107,192.6662177,2161.417342
-10.43486545,-2.415989169,-24.60850034,-41.22880987,8.972477368,235.6393945,193.2278218,2160.884471
15.24883971,11.19168432,-18.33072921,-38.58773097,10.54826842,236.2144693,193.7940425,2160.357156
15.34388848,10.09677501,-12.70289148,-35.34894496,12.15014231,236.7146776,194.3649448,2159.835408
14.61492426,-6.10494797,-8.023843139,-31.61304416,13.7731158,237.1379623,194.9405932,2159.31924
-17.95810346,-15.08512968,-4.817332106,-27.48062089,15.41220562,237.4822659,195.5210526,2158.808662
16.42017558,0.443958878,-3.121901131,-23.05226746,17.06242853,237.7455313,196.1063878,2158.303687
-13.5118697,18.97455823,-2.123603148,-18.42857621,18.71880127,237.9257009,196.6966635,2157.804325
10.7555452,17.59619551,-0.802193262,-13.71013945,20.37634058,238.0207177,197.2919446,2157.310589
-8.483528242,6.949888688,1.795815581,-8.997549499,22.03006321,238.0285191,197.8923007,2156.82249
-8.711743088,-4.700250486,6.209521213,-4.391398676,23.67498592,237.9470276,198.4978169,2156.340041
10.50928765,-15.46852377,12.88939492,0.007720697,25.30612544,237.7742037,199.1085404,2155.863251
10.60796628,-25.11895512,22.35561487,4.099216301,26.91849852,237.5081102,199.7244156,2155.392133
-11.96205091,-25.15462619,34.56516292,7.782495816,28.5071219,237.1468346,200.3453625,2154.926699
12.95409752,-9.770331663,47.15252885,10.95696692,30.06701234,236.6884642,200.9713012,2154.466961
-13.37448347,10.85951331,57.17157937,13.5220373,31.59318658,236.1310865,201.6021518,2154.012929
-6.366114497,20.83591911,61.67618122,15.37711462,33.08066137,235.4727888,202.2378344,2153.564615
-0.850924659,18.43940515,58.50088209,16.4522251,34.52445345,234.7116585,202.878269,2153.122031
11.75325531,5.985994558,48.60295352,16.79986898,35.91957957,233.8457831,203.5233758,2152.685189
-10.63036326,-8.64063111,33.72034803,16.50414589,37.26007562,232.8732498,204.1730747,2152.2541
